k,method,inertia,silhouette,davies_bouldin,calinski_harabasz,ari
2,Classical,8115.187896992475,0.09800292999229814,2.7748167585013137,18.543374098986387,0.021525458862935287
2,Quantum,153.41923390680955,0.011475257614175652,8.405218588014465,2.0151116553813537,0.021525458862935287
3,Classical,7737.408835930754,0.08099147202199326,2.9655223300205127,13.396345190297891,0.09434028134349162
3,Quantum,149.09685152101054,0.007760025045515278,5.918681253227985,2.7329394163768437,0.09434028134349162
4,Classical,7453.613383806706,0.06616908287566235,2.9109451129468846,11.139472629537536,0.1591282273481584
4,Quantum,142.20153531098737,0.017522529065049655,4.454134498586255,4.329855652340754,0.1591282273481584
5,Classical,7202.2413347496595,0.05717187817926099,2.8295529494870095,9.906860807580607,0.22732460120340947
5,Quantum,138.39154440495128,-0.00598206939031952,4.408484351996503,4.199875184279634,0.22732460120340947
6,Classical,7078.641491702717,0.03428532025511062,2.9200776069213763,8.534300762708984,0.14856166259845283
6,Quantum,136.09585278226817,-0.004845617449287284,4.4457551944909275,3.742415031725386,0.14856166259845283
7,Classical,6841.240217780438,0.04370152430380375,2.8425375111463853,8.171407230970804,0.23097578584886944
7,Quantum,132.28662357690723,0.004070485132382444,4.344200418535864,3.865502753572646,0.23097578584886944
8,Classical,6730.229809478335,0.04400912077828447,2.552018699047136,7.420544516339692,0.2443730723802867
8,Quantum,130.00638361464556,-0.007965026532009613,3.9552854037755756,3.758870518170842,0.2443730723802867
9,Classical,6566.773053754853,0.04801520715455579,2.439335900479,7.067013912293702,0.1805519891854978
9,Quantum,126.11443884142278,-0.006652715377599558,3.807664032638889,3.8291108891158014,0.1805519891854978
10,Classical,6390.099645821412,0.03597933558123616,2.500312294218642,6.860066086769038,0.29920010027020244
10,Quantum,118.07441546077082,0.015831783320456056,3.029712835040203,4.798427277163408,0.29920010027020244
