dims,k,inertia,silhouette,davies_bouldin,calinski_harabasz,n_iters,n_unique_clusters
2,2,154.91012785924514,0.10693474281055626,12.010779829645568,1.0605642860279818,30,2
2,3,152.05089738531848,0.09976586442321699,15.406345618358058,1.9752845588367178,30,3
2,4,151.33452811777204,0.05191520478998532,14.948895496373227,1.5542821023888793,30,4
2,5,148.49046591631185,0.0773454455113865,8.621824597455898,1.9032545273976504,30,5
2,6,148.24891930849995,-0.0025767858586411324,12.488102496603894,1.5638644903733376,30,6
2,7,145.1109735436877,0.022194272608654843,10.80456102726414,1.8595331351645783,30,7
2,8,146.93819812959904,-0.046585257161368944,14.880245016235863,1.3005825124764319,30,8
2,9,142.6419547899032,-0.07925855682044983,14.373355169467892,1.7178025990587866,30,9
2,10,143.12643680890466,-0.139493490269253,26.937089239639363,1.456502708167241,30,10
5,2,153.20490574133493,0.027982808698394025,7.549367305019252,2.6709218306271683,30,2
5,3,149.604291163528,0.021028641605865903,7.084817339813074,3.1998922566537362,30,3
5,4,142.64192394848544,0.03421435011921265,5.150784598297188,4.695808077087671,30,4
5,5,143.30143652136803,0.022720317602036313,5.5691771560718495,3.30884816923914,30,5
5,6,140.0446469728486,0.01691844394585281,4.888683408404834,3.3883603063453567,30,6
5,7,134.6786241234138,0.00875584669317771,5.022375792975099,3.906000486887751,30,7
5,8,127.69884704992076,0.013951678248122438,4.146632065980697,4.662926339086228,30,8
5,9,126.65312305163057,0.005375909899722479,5.325390096964174,4.237667373756301,30,9
5,10,126.78410397386402,-0.017714525791317437,5.178785558567456,3.720566604807701,30,10
10,2,153.2434913584262,0.01764233573590726,7.423898675187202,2.6674959787669374,30,2
10,3,151.30150403115078,0.005727436433894447,8.07129029037682,2.3239890123994997,30,3
10,4,146.04586762503354,0.017103747252173944,4.9362007744898015,3.417890658650321,30,4
10,5,144.26420757993128,0.002629361402822267,6.628544834819809,3.0442150212239247,30,5
10,6,139.06012717725426,0.009568252801427951,4.705796263481506,3.6324768381302412,30,6
10,7,136.97792583877518,0.003959310693953544,4.69028599288768,3.430082719771318,30,7
10,8,129.51590814580703,0.010163799702953228,4.2731183598573725,4.306732238763231,30,8
10,9,129.92799393489355,-0.0008285468091252057,4.520895128359305,3.6727783379252226,30,9
10,10,119.33366706217211,0.01022984373289016,3.7661331840189733,4.970540667973967,30,10
15,2,152.38645709511212,0.019002022458286222,6.417078596528841,3.5439914713253753,30,2
15,3,148.13232200095217,0.01976425481384674,5.519155656845509,4.008011548521598,30,3
15,4,143.22066103683255,0.017683114861050352,4.793984182125794,4.483160397311998,30,4
15,5,137.86937293112183,0.02365385279795558,3.997869214789618,4.935134210439331,30,5
15,6,138.02212129586482,0.013148231539077137,4.19088412044779,3.884419703934654,30,6
15,7,132.86975949931494,0.0163681821816148,4.170584553203276,4.303098466996906,30,7
15,8,133.45769726549383,0.006208522174005492,4.934458711018793,3.554332916397451,30,8
15,9,123.29898305765957,0.0218927768139478,3.4165669578849447,4.857468057668476,30,9
15,10,119.85453385301592,0.02799013516295118,3.433482201408798,4.87782245094904,30,10
20,2,153.5358304685578,0.00961884080050821,7.956837499777361,2.3471020614460167,30,2
20,3,147.5722896124045,0.02142871874394232,5.171539791542892,4.304486942762868,30,3
20,4,146.59979126393495,0.008578638741078127,5.273093043836729,3.205921272160577,30,4
20,5,141.14722586092608,0.01142223824405306,4.832183111504936,3.939190910973901,30,5
20,6,135.50270563404283,0.019194114446760113,4.014644003276626,4.510571009365374,30,6
20,7,130.5813814552832,0.02394864365416116,3.438816124076436,4.810380809685734,30,7
20,8,130.41593040296127,0.009874875260429282,3.703321847763445,4.127529617987419,30,8
20,9,124.97469760854315,0.02518613405303128,3.2250053630891227,4.543390269906723,30,9
20,10,120.8485180766259,0.028012769421936506,3.1049784845584254,4.701930182509074,30,10
27,2,153.39825532741128,0.010904671844731924,7.818265552352462,2.4944329462694252,30,2
27,3,149.27203116078059,0.014021973399415905,5.793767535038833,3.3880066664236024,30,3
27,4,143.77041556683056,0.013056484103163516,4.960053135440403,4.268620276999357,30,4
27,5,141.31530465718885,0.008548771420737301,4.649404508805438,3.891498447705816,30,5
27,6,140.0066217746117,0.012772877839312703,4.414915026885928,3.4019075958784106,30,6
27,7,131.51751291699478,0.019046196643135015,3.9008002664861894,4.600716627055154,30,7
27,8,128.73847093681607,0.016800117728539832,3.831806390909893,4.457965501534251,30,8
27,9,121.38206449789355,0.035259035805547664,3.131375411620433,5.222794788597438,30,9
27,10,120.28109340961028,0.029059158159112062,3.053960986244668,4.8015949470336485,30,10
